10,60,10000
1731,Ewing,Jason,M,1716,Miyahira,Amanda,F, -1
1671,Scott,Tommy,M,1841,Wong,Carl,M, -1
1732,Getchel,Valerie,F,1702,Howell,Regina,F, -1
1762,Ewing,Corina,F,1703,Leonard,Nicholas,M, -1
1805,Sytwu,Tommy,M,1739,Mammone,Aren,M, -1
1671,Tsai,Clyde,M,1888,Gajan,Yvonne,F, -1
1773,Sytwu,Justin,M,1702,Mostafavi,Afsana,F, -1
1705,Attaway,Cameron,M,1720,Lathia,Sapna,F, -1
1713,Gajan,Kai,M,1898,Kwong,Louise,F,1677,Gajan,Salvador,M
1733,Crawford,Barrett,M,1679,Lawu,Eric,M, -1
1671,Tsai,Clyde,M,1708,Noel,Lisa,F, -1
1675,Walters,David,M,1743,Matyas,Salvador,M, -1
1679,Lawu,Eric,M,1892,Noel,Jennifer,F, -1
1675,Walters,David,M,1702,Liang,Joyce,F, -1
1743,Matyas,Salvador,M,1775,Kwong,Mackenzie,M, -1
1679,Miyahira,Kevin,M,1719,Ouyang,Kevin,M, -1
1844,Wong,Michelle,F,1765,Lee,Ryan,M, -1
1702,Liang,Joyce,F,1830,Mostafavi,Pamela,F, -1
1716,Anand,Clairissa,F,1854,Burnett,Kelli,F, -1
1675,Walters,David,M,1764,Damion,Laura,F, -1
1889,Lee,Matthew,M,1885,Yun,Tommy,M,1741,Li,Ryan,M
1677,Chon,Eric,M,1713,Clegg,Aren,M, -1
1732,Getchel,Valerie,F,1671,Clegg,Sean,M, -1
1794,Matyas,Clairissa,F,1754,Wong,Lisa,F, -1
1749,Li,Ryan,M,1734,Zhu,Monica,F, -1
1802,Yun,Megan,F,1677,Bloom,William,M, -1
1832,Burnett,Ming,F,1675,Walters,David,M, -1
1679,Miyahira,Kevin,M,1717,Mittal,Christopher,M, -1
1720,Clegg,Parvinder,F,1707,Fuentes,Barrett,M, -1
1734,Wu,Clairissa,F,1740,Nguyen,Jennie,F, -1
1823,Kwong,Allen,M,1762,Nguyen,Joyce,F,1673,Nguyen,Kevin,M
1741,Anand,Bernardo,M,1747,Gee,Salvador,M, -1
1716,Gajan,Carol,F,1753,Matyas,Denys,M, -1
1946,Anand,Kelli,F,1764,Getchel,Christine,F,1704,Souza,Meredith,F
1734,Zhu,Monica,F,1679,Noel,Kevin,M, -1
1671,Tsai,Clyde,M,1705,Attaway,Cameron,M, -1
1715,Litvak,Salvador,M,1754,Kaur,Jennie,F, -1
1702,Mostafavi,Afsana,F,1711,Lathia,Nam,M, -1
1740,Tran,Jennie,F,1770,Yun,Sapna,F, -1
1705,Gee,Barrett,M,1733,Espinoza,Kenneth,M, -1
1886,Floyd,Pamela,F,1713,Hsu,Ryan,M,1672,Nguyen,Valerie,F
1754,Wong,Lisa,F,1716,Anand,Clairissa,F, -1
1768,Li,Amanda,F,1807,Crawford,Denys,M,1705,Li,Sean,M
1679,Azari,Johnny,M,1740,Nguyen,Jennie,F, -1
1673,Kaur,Denys,M,1855,McKenzie,Jason,M,1673,Kaur,Denys,M
1717,Noel,Jason,M,1679,Zhu,Christopher,M, -1
1715,Litvak,Salvador,M,1671,Tsai,Clyde,M, -1
1715,Wu,Aren,M,1895,McKenzie,Bernardo,M, -1
1855,Clegg,Sean,M,1717,Noel,Jason,M,1679,Noel,Kevin,M
1852,Burnett,Lisa,F,1677,Bloom,William,M, -1
1675,Walters,David,M,1746,Li,Elizabeth,F, -1
1780,Matyas,Megan,F,1806,Lee,Annie,F,1680,Hsu,Laura,F
1679,Wong,Tommy,M,1716,Nguyen,Katrina,F, -1
1671,Ma,Mackenzie,M,1771,Floyd,Nicholas,M, -1
1802,Wong,Alma,F,1775,Crawford,George,M,1679,Wong,Tommy,M
1679,Lawu,Eric,M,1892,Lee,Sofia,F, -1
1762,Nguyen,Joyce,F,1671,Tsai,Clyde,M, -1
1703,Getchel,Eric,M,1702,Liang,Joyce,F, -1
1717,Kaur,Justin,M,1855,Getchel,Timothy,M,1674,Noel,Josephine,F
1883,Yun,Tyler,M,1675,Walters,David,M, -1
1709,Burnett,Carl,M,1777,Floyd,Bernardo,M,1680,Matsumura,Tera,F
1798,Wong,Sofia,F,1713,Noel,Carl,M, -1
1743,Li,Kevin,M,1713,Lee,Nam,M, -1
1780,Lathia,Jennifer,F,1713,Matyas,Kenneth,M, -1
1713,Mittal,Kai,M,1677,Espinoza,George,M, -1
1717,Noel,Jason,M,1842,Gajan,Elizabeth,F,1679,Noel,Kevin,M
1917,Burnett,Thomas,M,1713,Clegg,Aren,M,1672,Chon,Sara,F
1718,Wong,Regina,F,1733,Chon,Charles,M, -1
1743,Matyas,Salvador,M,1822,Sytwu,Carol,F,1677,Matyas,Cameron,M
1959,Chon,Thomas,M,1779,Ewing,George,M,1708,Jarvinen,Constance,F
1716,Clegg,Ming,F,1677,Bloom,William,M, -1
1813,Floyd,Christopher,M,1677,Matyas,Cameron,M, -1
1823,Yun,Aren,M,1707,Fuentes,Barrett,M, -1
1708,Le,Parvinder,F,1794,Matyas,Clairissa,F, -1
1679,Lathia,Thomas,M,1744,Matyas,Stephanie,F, -1
1719,Miyahira,Bernardo,M,1771,Floyd,Nicholas,M, -1
1709,Gee,Aleksandr,M,1671,Tsai,Clyde,M, -1
1675,Li,Jason,M,1745,Floyd,Barrett,M, -1
1740,Floyd,Carol,F,1746,Li,Elizabeth,F, -1
1912,Yun,Carol,F,1765,Noel,Christopher,M,1712,Nguyen,Sapna,F
1762,McKenzie,Monica,F,1671,Ouyang,David,M, -1
1919,Burnett,Carl,M,1677,Bloom,William,M, -1
1671,Tsai,Clyde,M,1853,Wong,Christopher,M, -1
1770,Espinoza,Joyce,F,1918,Gee,Tera,F,1770,Espinoza,Joyce,F
1733,Drawdy,Johnny,M,1797,Clegg,Barrett,M, -1
1720,Lathia,Sapna,F,1862,Floyd,Annie,F,1679,Lathia,Thomas,M
1671,Tsai,Clyde,M,1673,Jarvinen,Sean,M, -1
1707,Liu,Kenneth,M,1710,Nguyen,Meredith,F, -1
1783,Damion,Christopher,M,1675,Walters,David,M, -1
1799,Gajan,William,M,1764,Anand,Joyce,F, -1
1781,Gee,Eric,M,1776,Matyas,Lisa,F,1677,Gee,Nam,M
1746,Li,Elizabeth,F,1719,Wu,Johnny,M, -1
1749,Chon,Carl,M,1717,Lee,Nicholas,M, -1
1732,Getchel,Valerie,F,1715,Getchel,Kai,M,1677,Getchel,William,M
1831,Lee,Bernardo,M,1753,Hsu,Timothy,M, -1
1718,Gajan,Casey,F,1702,Mostafavi,Afsana,F, -1
1855,Damion,Aren,M,1828,Sytwu,Constance,F,1708,Mammone,Giesel,F
1851,Floyd,Jason,M,1679,Burnett,Kenneth,M,1679,Burnett,Kenneth,M
1752,Chon,Monica,F,1703,Chon,Christopher,M,1703,Chon,Christopher,M
1671,Matsumura,Nam,M,1763,Chon,Cameron,M, -1
1720,Wong,Laura,F,1746,Mammone,Michelle,F, -1
1747,McKenzie,Carl,M,1671,Trenh,Cameron,M, -1
1946,Kwong,Yolanda,F,1740,Nguyen,Jennie,F,1705,Nguyen,William,M
1677,Tran,Cameron,M,1702,Lawton,Katrina,F, -1
1738,Tran,Alma,F,1742,Nguyen,Patricia,F, -1
1677,Espinoza,George,M,1702,Mostafavi,Afsana,F, -1
1826,Tran,Alina,F,1837,Wong,Denys,M,1680,Matsumura,Tera,F
1671,Matsumura,Nam,M,1701,Li,Thomas,M, -1
1733,Litvak,Nam,M,1719,Miyahira,Bernardo,M, -1
1713,Azari,Thomas,M,1717,Lee,Nicholas,M, -1
1737,Chon,Allen,M,1762,Zhu,Francis,F, -1
1770,Espinoza,Joyce,F,1765,Lee,Ryan,M, -1
1671,Matsumura,Nam,M,1704,Gould,Amanda,F, -1
1671,Matsumura,Nam,M,1764,Mostafavi,Yolanda,F, -1
1677,Espinoza,George,M,1742,Gee,Patricia,F, -1
1704,Le,Louise,F,1836,Yun,Valerie,F, -1
1733,Li,William,M,1707,Damion,Matthew,M,1677,Damion,Bernardo,M
1809,Floyd,Carl,M,1677,Bloom,William,M, -1
1718,Litvak,Francis,F,1723,Hsu,Allen,M, -1
1857,Sytwu,Justin,M,1718,Litvak,Francis,F,1674,Souza,Carol,F
1707,Fuentes,Barrett,M,1747,Getchel,Sean,M, -1
1771,Jarvinen,Kevin,M,1764,Damion,Laura,F, -1
1825,Floyd,Jason,M,1715,Chan,Allen,M,1679,Chan,Thomas,M
1769,Gee,Bernardo,M,1761,Kaur,William,M,1674,Noel,Josephine,F
1735,Jarvinen,Bernardo,M,1671,Scott,Tommy,M, -1
1713,Gajan,Kai,M,1739,Anand,Matthew,M, -1
1761,Hsu,Kai,M,1671,Tsai,Clyde,M, -1
1882,Sytwu,Patricia,F,1733,Lee,Christopher,M,1672,Zhu,Meredith,F
1780,Crawford,Alina,F,1749,Damion,Justin,M, -1
1677,Getchel,William,M,1865,Lee,Allen,M, -1
1749,Chon,Carl,M,1745,Burnett,Tyler,M, -1
1740,Nguyen,Jennie,F,1673,Kaur,Denys,M, -1
1671,Hsu,Tommy,M,1737,Burnett,Denys,M, -1
1675,Walters,David,M,1735,Tran,Allen,M, -1
1831,Yun,Carl,M,1801,Sytwu,Sean,M,1679,Miyahira,Kevin,M
1671,Wu,George,M,1824,Wong,Clairissa,F, -1
1752,Ewing,Patricia,F,1677,Bloom,William,M, -1
1718,Chan,Pamela,F,1763,Gee,Nicholas,M, -1
1705,Tran,Aleksandr,M,1713,Matyas,Kenneth,M, -1
1801,Yun,Nicholas,M,1705,Liang,Carl,M, -1
1807,Burnett,Sean,M,1677,Ewing,Kevin,M, -1
1824,Crawford,Annie,F,1718,Wong,Regina,F, -1
1707,Liu,Kenneth,M,1754,Wong,Lisa,F, -1
1705,Attaway,Cameron,M,1750,Crawford,Sara,F, -1
1671,Tsai,Clyde,M,1713,Mittal,Kai,M, -1
1677,Bloom,William,M,1679,Miyahira,Kevin,M, -1
1798,Tran,Lindsay,F,1837,Wong,David,M,1679,Hao,Allen,M
1705,Attaway,Cameron,M,1774,Lee,Alina,F, -1
1772,Espinoza,Afsana,F,1775,McKenzie,Eric,M, -1
1827,Gajan,Barrett,M,1707,Fuentes,Barrett,M,1679,Fuentes,Nicholas,M
1713,Le,Tyler,M,1671,Tsai,Clyde,M, -1
1716,Anand,Clairissa,F,1677,Gee,Nam,M, -1
1762,Zhu,Francis,F,1836,Li,Lisa,F, -1
1842,Gajan,Elizabeth,F,1679,Zhu,Christopher,M, -1
1709,Wu,Sean,M,1677,Iwahashi,Matthew,M, -1
1796,Mammone,Michelle,F,1671,Matsumura,Nam,M, -1
1736,Getchel,Corina,F,1673,Jarvinen,Sean,M, -1
1803,Burnett,William,M,1711,Chan,Thomas,M, -1
1720,Lee,Sapna,F,1679,Lathia,Thomas,M, -1
1703,Damion,Carl,M,1719,Getchel,Carl,M, -1
1717,Kaur,Justin,M,1675,Attaway,Carl,M, -1
1831,Floyd,Mackenzie,M,1831,Clegg,Allen,M,1705,Mammone,Salvador,M
1677,Bloom,William,M,1805,Crawford,Jason,M, -1
1740,Floyd,Carol,F,1733,Espinoza,Kenneth,M, -1
1703,Leonard,Nicholas,M,1733,Crawford,Sean,M, -1
1733,Ouyang,Tommy,M,1671,Tsai,Clyde,M, -1
1702,Mostafavi,Afsana,F,1702,Howell,Regina,F, -1
1671,Tsai,Clyde,M,1736,Crawford,Alina,F, -1
1713,Azari,Thomas,M,1704,Kaur,Megan,F, -1
